n_pts,N_shots,N_total,seed,rmse,rmse_se,rmse_corr,mae,mean_sigma_gp,mean_sigma_noise,cov80,cov90,cov95,cov95_adj,nlpd,nlpd_adj,crps,msse,msse_gp,n_valid,l1,l2,l3,sf,c
10,1000,10000,32,0.179543,0.001636,0.178971,0.144430,0.066482,0.014318,0.3457,0.4363,0.5175,0.5373,2.4641,2.1653,0.115291,7.963993,8.633392,4999,0.3032,1.5000,0.9453,1.1108,0.0500
10,1000,10000,33,0.188520,0.001878,0.187975,0.141585,0.152384,0.014317,0.7425,0.8556,0.9224,0.9242,-0.4090,-0.4068,0.100732,1.235670,1.248057,4999,0.2278,0.3879,1.5000,1.0376,0.0500
10,1000,10000,34,0.150741,0.002190,0.150060,0.105556,0.098548,0.014317,0.6933,0.7770,0.8304,0.8350,-0.2356,-0.2576,0.080295,2.350329,2.426399,4999,0.1018,0.7788,1.5000,0.9355,0.0500
10,1000,10000,35,0.168716,0.001666,0.168108,0.131819,0.103472,0.014317,0.5733,0.6879,0.7830,0.7922,-0.2960,-0.3059,0.095549,2.163212,2.213395,4999,0.3643,0.3092,1.5000,1.0120,0.0500
10,1000,10000,36,0.173358,0.001801,0.172766,0.135468,0.205054,0.014318,0.8606,0.9254,0.9612,0.9618,-0.3166,-0.3158,0.098272,0.753074,0.757839,4999,0.6213,0.0608,0.9367,1.0241,0.0500
10,1000,10000,37,0.189576,0.002566,0.189034,0.136834,0.097404,0.014317,0.5583,0.6637,0.7469,0.7602,0.5126,0.4249,0.103260,3.875311,4.102100,4999,0.1648,1.0201,1.5000,1.1356,0.0500
10,1000,10000,38,0.231071,0.002099,0.230627,0.185870,0.149012,0.014318,0.5536,0.6709,0.7509,0.7555,0.4440,0.4243,0.137795,2.907427,2.961591,4998,0.5072,1.5000,0.1123,0.9387,0.0500
10,1000,10000,39,0.168956,0.001965,0.168349,0.124333,0.089139,0.014318,0.5825,0.6747,0.7367,0.7439,0.4068,0.3636,0.095566,3.785052,3.904481,4999,0.1657,1.5000,1.5000,0.8414,3.0000
10,1000,10000,40,0.230471,0.002105,0.230026,0.178896,0.137491,0.014317,0.5577,0.6451,0.7147,0.7181,0.5775,0.5425,0.136512,3.296636,3.383577,4999,1.5000,0.1044,1.5000,1.0361,0.0500
10,1000,10000,41,0.180932,0.002164,0.180365,0.133002,0.070111,0.014316,0.4697,0.5519,0.6188,0.6284,2.6659,2.3895,0.107194,8.290735,8.903883,4997,0.0500,1.5000,1.5000,0.9774,0.0500
10,1000,10000,42,0.170080,0.001803,0.169476,0.126857,0.148899,0.014317,0.7756,0.8716,0.9262,0.9268,-0.4690,-0.4662,0.091733,1.072344,1.078614,4999,0.1144,0.1199,1.5000,0.9803,0.0500
10,1000,10000,43,0.118819,0.001191,0.117954,0.092356,0.119942,0.014317,0.7993,0.8880,0.9250,0.9272,-0.6558,-0.6605,0.066876,1.165011,1.194939,4998,0.2261,0.4616,1.5000,0.9980,0.0500
10,1000,10000,44,0.163778,0.001470,0.163151,0.131472,0.162388,0.014317,0.8098,0.9376,0.9742,0.9746,-0.5134,-0.5099,0.089977,0.875505,0.881666,4999,0.2391,0.1685,1.5000,1.0409,0.0500
10,1000,10000,45,0.255923,0.002880,0.255522,0.188645,0.055220,0.014318,0.3227,0.3891,0.4369,0.4493,8.3973,7.7877,0.163541,19.530479,20.831782,4999,1.2536,0.3881,1.4798,1.1406,2.2993
10,1000,10000,46,0.179949,0.001756,0.179379,0.140824,0.090175,0.014317,0.4803,0.5835,0.6607,0.6711,0.9096,0.8018,0.108230,4.673802,4.933606,4999,1.5000,0.0973,1.5000,0.8315,0.0500
10,1000,10000,47,0.199386,0.002434,0.198871,0.147829,0.044297,0.014317,0.2479,0.3171,0.3782,0.4080,7.3112,6.3404,0.125862,17.069130,19.170373,4998,0.4410,0.6371,1.5000,1.0584,0.0500
