u1,u2,u3,Q_jac,Q_det,gg,ee
-0.015000,-0.040000,-0.400000,0.933303,0.980587,0.118774,0.814517
-0.010000,-0.040000,-0.400000,0.939874,0.983307,0.122263,0.817599
-0.005000,-0.040000,-0.400000,0.945349,0.985643,0.125720,0.819617
0.000000,-0.040000,-0.400000,0.949680,0.987604,0.129124,0.820544
0.005000,-0.040000,-0.400000,0.952849,0.989204,0.132468,0.820369
0.010000,-0.040000,-0.400000,0.954848,0.990459,0.135746,0.819091
0.015000,-0.040000,-0.400000,0.955681,0.991378,0.138950,0.816720
0.020000,-0.040000,-0.400000,0.955372,0.991979,0.142085,0.813275
0.025000,-0.040000,-0.400000,0.953955,0.992275,0.145163,0.808780
0.030000,-0.040000,-0.400000,0.945947,0.992280,0.148189,0.803282
0.035000,-0.040000,-0.400000,0.936491,0.992008,0.151185,0.796821
0.040000,-0.040000,-0.400000,0.926130,0.991476,0.154174,0.789449
0.045000,-0.040000,-0.400000,0.914883,0.990695,0.157186,0.781214
0.050000,-0.040000,-0.400000,0.902801,0.989682,0.160248,0.772194
0.055000,-0.040000,-0.400000,0.889902,0.988450,0.163398,0.762446
0.060000,-0.040000,-0.400000,0.876202,0.987011,0.166678,0.752026
0.065000,-0.040000,-0.400000,0.861754,0.985382,0.170123,0.741023
0.070000,-0.040000,-0.400000,0.846571,0.983574,0.173779,0.729495
-0.070000,-0.035000,-0.400000,0.820927,0.928534,0.093137,0.727778
-0.065000,-0.035000,-0.400000,0.834593,0.935869,0.096254,0.738328
-0.060000,-0.035000,-0.400000,0.848083,0.942738,0.099450,0.748622
-0.055000,-0.035000,-0.400000,0.861311,0.949149,0.102727,0.758571
-0.050000,-0.035000,-0.400000,0.874146,0.955092,0.106073,0.768061
-0.045000,-0.035000,-0.400000,0.886500,0.960580,0.109480,0.777008
-0.040000,-0.035000,-0.400000,0.898283,0.965621,0.112940,0.785331
-0.035000,-0.035000,-0.400000,0.909370,0.970213,0.116429,0.792929
-0.030000,-0.035000,-0.400000,0.919681,0.974369,0.119935,0.799734
-0.025000,-0.035000,-0.400000,0.929126,0.978098,0.123437,0.805677
-0.020000,-0.035000,-0.400000,0.937633,0.981411,0.126920,0.810702
-0.015000,-0.035000,-0.400000,0.945117,0.984312,0.130358,0.814747
-0.010000,-0.035000,-0.400000,0.951526,0.986818,0.133738,0.817777
-0.005000,-0.035000,-0.400000,0.956820,0.988940,0.137046,0.819762
0.000000,-0.035000,-0.400000,0.960956,0.990688,0.140265,0.820678
0.005000,-0.035000,-0.400000,0.963919,0.992076,0.143389,0.820518
0.010000,-0.035000,-0.400000,0.963721,0.993120,0.146415,0.819281
0.015000,-0.035000,-0.400000,0.958496,0.993830,0.149337,0.816979
0.020000,-0.035000,-0.400000,0.952322,0.994222,0.152163,0.813631
0.025000,-0.035000,-0.400000,0.945210,0.994311,0.154907,0.809262
0.030000,-0.035000,-0.400000,0.937194,0.994111,0.157576,0.803916
0.035000,-0.035000,-0.400000,0.928293,0.993637,0.160196,0.797634
0.040000,-0.035000,-0.400000,0.918529,0.992903,0.162790,0.790465
0.045000,-0.035000,-0.400000,0.907918,0.991923,0.165391,0.782455
0.050000,-0.035000,-0.400000,0.896505,0.990714,0.168029,0.773679
0.055000,-0.035000,-0.400000,0.884305,0.989287,0.170741,0.764192
0.060000,-0.035000,-0.400000,0.871327,0.987656,0.173573,0.754046
0.065000,-0.035000,-0.400000,0.857622,0.985838,0.176559,0.743327
0.070000,-0.035000,-0.400000,0.843197,0.983842,0.179747,0.732090
-0.070000,-0.030000,-0.400000,0.832376,0.934069,0.104872,0.727492
-0.065000,-0.030000,-0.400000,0.846274,0.941191,0.108246,0.738016
-0.060000,-0.030000,-0.400000,0.859929,0.947845,0.111661,0.748257
-0.055000,-0.030000,-0.400000,0.873259,0.954039,0.115117,0.758130
-0.050000,-0.030000,-0.400000,0.886135,0.959763,0.118600,0.767524
-0.045000,-0.030000,-0.400000,0.898474,0.965031,0.122102,0.776360
-0.040000,-0.030000,-0.400000,0.910188,0.969851,0.125613,0.784562
-0.035000,-0.030000,-0.400000,0.921159,0.974221,0.129111,0.792036
-0.030000,-0.030000,-0.400000,0.931310,0.978155,0.132582,0.798716
-0.025000,-0.030000,-0.400000,0.940559,0.981661,0.136007,0.804540
-0.020000,-0.030000,-0.400000,0.948839,0.984752,0.139372,0.809455
-0.015000,-0.030000,-0.400000,0.956071,0.987432,0.142654,0.813405
-0.010000,-0.030000,-0.400000,0.961374,0.989716,0.145838,0.816359
-0.005000,-0.030000,-0.400000,0.960226,0.991618,0.148917,0.818289
0.000000,-0.030000,-0.400000,0.958157,0.993147,0.151872,0.819175
0.005000,-0.030000,-0.400000,0.955165,0.994318,0.154702,0.819013
0.010000,-0.030000,-0.400000,0.951251,0.995144,0.157405,0.817802
0.015000,-0.030000,-0.400000,0.946430,0.995640,0.159980,0.815556
0.020000,-0.030000,-0.400000,0.940714,0.995820,0.162436,0.812296
0.025000,-0.030000,-0.400000,0.934110,0.995698,0.164788,0.808044
0.030000,-0.030000,-0.400000,0.926651,0.995289,0.167049,0.802846
0.035000,-0.030000,-0.400000,0.918350,0.994608,0.169244,0.796740
0.040000,-0.030000,-0.400000,0.909227,0.993670,0.171400,0.789773
0.045000,-0.030000,-0.400000,0.899294,0.992489,0.173551,0.781990
0.050000,-0.030000,-0.400000,0.888590,0.991080,0.175727,0.773463
0.055000,-0.030000,-0.400000,0.877127,0.989457,0.177970,0.764243
0.060000,-0.030000,-0.400000,0.864911,0.987632,0.180324,0.754380
0.065000,-0.030000,-0.400000,0.851985,0.985622,0.182827,0.743957
0.070000,-0.030000,-0.400000,0.838353,0.983439,0.185525,0.733024
-0.070000,-0.025000,-0.400000,0.844231,0.939092,0.118180,0.726040
-0.065000,-0.025000,-0.400000,0.858218,0.945992,0.121715,0.736491
-0.060000,-0.025000,-0.400000,0.871897,0.952421,0.125253,0.746633
-0.055000,-0.025000,-0.400000,0.885187,0.958388,0.128790,0.756385
-0.050000,-0.025000,-0.400000,0.897965,0.963886,0.132313,0.765640
-0.045000,-0.025000,-0.400000,0.910149,0.968925,0.135812,0.774325
-0.040000,-0.025000,-0.400000,0.921659,0.973515,0.139278,0.782369
-0.035000,-0.025000,-0.400000,0.932382,0.977657,0.142689,0.789681
-0.030000,-0.025000,-0.400000,0.941026,0.981361,0.146031,0.796203
-0.025000,-0.025000,-0.400000,0.943441,0.984638,0.149289,0.801876
-0.020000,-0.025000,-0.400000,0.945059,0.987500,0.152448,0.806653
-0.015000,-0.025000,-0.400000,0.945849,0.989953,0.155487,0.810482
-0.010000,-0.025000,-0.400000,0.945793,0.992010,0.158396,0.813335
-0.005000,-0.025000,-0.400000,0.944877,0.993686,0.161166,0.815189
0.000000,-0.025000,-0.400000,0.943096,0.994991,0.163785,0.816027
0.005000,-0.025000,-0.400000,0.940449,0.995939,0.166251,0.815846
0.010000,-0.025000,-0.400000,0.936934,0.996546,0.168567,0.814647
0.015000,-0.025000,-0.400000,0.932567,0.996823,0.170734,0.812447
0.020000,-0.025000,-0.400000,0.927355,0.996786,0.172764,0.809265
0.025000,-0.025000,-0.400000,0.921305,0.996450,0.174673,0.805124
0.030000,-0.025000,-0.400000,0.914445,0.995830,0.176478,0.800069
0.035000,-0.025000,-0.400000,0.906785,0.994940,0.178206,0.794137
0.040000,-0.025000,-0.400000,0.898343,0.993796,0.179884,0.787373
0.045000,-0.025000,-0.400000,0.889125,0.992410,0.181549,0.779820
0.050000,-0.025000,-0.400000,0.879167,0.990801,0.183234,0.771547
0.055000,-0.025000,-0.400000,0.868475,0.988980,0.184981,0.762601
0.060000,-0.025000,-0.400000,0.857053,0.986961,0.186833,0.753032
0.065000,-0.025000,-0.400000,0.844939,0.984760,0.188830,0.742915
0.070000,-0.025000,-0.400000,0.832134,0.982389,0.191021,0.732301
-0.070000,-0.020000,-0.400000,0.856316,0.943606,0.132885,0.723419
-0.065000,-0.020000,-0.400000,0.870247,0.950274,0.136485,0.733750
-0.060000,-0.020000,-0.400000,0.883805,0.956470,0.140047,0.743746
-0.055000,-0.020000,-0.400000,0.896912,0.962203,0.143568,0.753332
-0.050000,-0.020000,-0.400000,0.906228,0.967465,0.147032,0.762406
-0.045000,-0.020000,-0.400000,0.911322,0.972268,0.150433,0.770900
-0.040000,-0.020000,-0.400000,0.915842,0.976622,0.153759,0.778747
-0.035000,-0.020000,-0.400000,0.919727,0.980527,0.156990,0.785862
-0.030000,-0.020000,-0.400000,0.922933,0.983996,0.160114,0.792193
-0.025000,-0.020000,-0.400000,0.925423,0.987038,0.163117,0.797685
-0.020000,-0.020000,-0.400000,0.927165,0.989666,0.165986,0.802297
-0.015000,-0.020000,-0.400000,0.928132,0.991885,0.168702,0.805980
-0.010000,-0.020000,-0.400000,0.928306,0.993711,0.171259,0.808710
-0.005000,-0.020000,-0.400000,0.927675,0.995157,0.173649,0.810470
0.000000,-0.020000,-0.400000,0.926234,0.996234,0.175863,0.811242
0.005000,-0.020000,-0.400000,0.923980,0.996956,0.177902,0.811028
0.010000,-0.020000,-0.400000,0.920912,0.997338,0.179772,0.809830
0.015000,-0.020000,-0.400000,0.917043,0.997394,0.181477,0.807666
0.020000,-0.020000,-0.400000,0.912379,0.997138,0.183030,0.804555
0.025000,-0.020000,-0.400000,0.906925,0.996585,0.184451,0.800521
0.030000,-0.020000,-0.400000,0.900703,0.995752,0.185758,0.795607
0.035000,-0.020000,-0.400000,0.893722,0.994651,0.186981,0.789849
0.040000,-0.020000,-0.400000,0.885995,0.993300,0.188149,0.783290
0.045000,-0.020000,-0.400000,0.877526,0.991710,0.189299,0.775971
0.050000,-0.020000,-0.400000,0.868346,0.989899,0.190466,0.767957
0.055000,-0.020000,-0.400000,0.858457,0.987882,0.191692,0.759295
0.060000,-0.020000,-0.400000,0.847860,0.985668,0.193023,0.750029
0.065000,-0.020000,-0.400000,0.836587,0.983276,0.194500,0.740232
0.070000,-0.020000,-0.400000,0.824636,0.980717,0.196169,0.729951
-0.070000,-0.015000,-0.400000,0.861744,0.947602,0.148753,0.719643
-0.065000,-0.015000,-0.400000,0.868338,0.954031,0.152322,0.729805
-0.060000,-0.015000,-0.400000,0.874653,0.959987,0.155812,0.739610
-0.055000,-0.015000,-0.400000,0.880621,0.965478,0.159220,0.748987
-0.050000,-0.015000,-0.400000,0.886161,0.970498,0.162532,0.757839
-0.045000,-0.015000,-0.400000,0.891217,0.975059,0.165741,0.766103
-0.040000,-0.015000,-0.400000,0.895735,0.979172,0.168836,0.773717
-0.035000,-0.015000,-0.400000,0.899658,0.982835,0.171800,0.780604
-0.030000,-0.015000,-0.400000,0.902946,0.986064,0.174622,0.786714
-0.025000,-0.015000,-0.400000,0.905564,0.988866,0.177289,0.791999
-0.020000,-0.015000,-0.400000,0.907484,0.991255,0.179791,0.796421
-0.015000,-0.015000,-0.400000,0.908678,0.993238,0.182113,0.799936
-0.010000,-0.015000,-0.400000,0.909133,0.994829,0.184248,0.802526
-0.005000,-0.015000,-0.400000,0.908835,0.996042,0.186193,0.804174
