axis,u_scan,u1,u2,u3,Q_jac_det,Q_det,Q_shot_mean,Q_shot_std,Q_db_mean,Q_db_std,bias_empirical,bias_theory,bias_residual,db_error,gg,ee
u1,-0.003869,-0.003869,0.003966,0.082414,0.999450,0.999921,0.994633,0.003563,0.996282,0.004181,0.004816,0.005099,-0.000283,0.003168,0.145287,0.854150
u1,-0.003166,-0.003166,0.003966,0.082414,0.999478,0.999924,0.994798,0.004185,0.996295,0.004750,0.004680,0.005122,-0.000441,0.003183,0.145238,0.854229
u1,-0.002462,-0.002462,0.003966,0.082414,0.999487,0.999919,0.994509,0.004391,0.995976,0.005003,0.004977,0.005128,-0.000150,0.003511,0.145185,0.854289
u1,-0.001759,-0.001759,0.003966,0.082414,0.999475,0.999907,0.994341,0.003479,0.995921,0.004124,0.005133,0.005116,0.000018,0.003553,0.145131,0.854332
u1,-0.001055,-0.001055,0.003966,0.082414,0.999442,0.999889,0.993518,0.004402,0.994794,0.005003,0.005924,0.005085,0.000839,0.004648,0.145073,0.854357
u1,-0.000352,-0.000352,0.003966,0.082414,0.999389,0.999863,0.994826,0.003922,0.996342,0.004462,0.004563,0.005037,-0.000473,0.003047,0.145014,0.854364
u1,0.000352,0.000352,0.003966,0.082414,0.999316,0.999831,0.994379,0.004661,0.995821,0.005271,0.004937,0.004969,-0.000033,0.003495,0.144951,0.854353
u1,0.001055,0.001055,0.003966,0.082414,0.999222,0.999792,0.994654,0.003920,0.996194,0.004467,0.004569,0.004885,-0.000316,0.003028,0.144886,0.854324
u1,0.001759,0.001759,0.003966,0.082414,0.999108,0.999746,0.994671,0.003764,0.996099,0.004234,0.004437,0.004781,-0.000344,0.003009,0.144819,0.854277
u1,0.002462,0.002462,0.003966,0.082414,0.998974,0.999694,0.993662,0.004692,0.994987,0.005300,0.005313,0.004662,0.000650,0.003987,0.144749,0.854213
u1,0.003166,0.003166,0.003966,0.082414,0.998819,0.999634,0.994747,0.003647,0.996288,0.004184,0.004072,0.004526,-0.000455,0.002531,0.144676,0.854131
u1,0.003869,0.003869,0.003966,0.082414,0.998645,0.999568,0.993995,0.004779,0.995566,0.005503,0.004650,0.004377,0.000274,0.003079,0.144602,0.854032
