seed,initial_seed,N_shots,total_shots,n_train,q_det,q_rec,center_jitter_u1,center_jitter_u2,center_jitter_u3,true_opt_u1,true_opt_u2,true_opt_u3,ell1,ell2,ell3,sigma_f,c,elapsed_seconds
607415,607415,1000,113000,112,0.99978725110110966,1,0,0,0,-0,-0,-0,0.51841917152775208,0.36869567310914625,1.5,1.3018748254471204,0.65612980921151398,880.57705307006836
421887,421887,1000,113000,112,0.99911967924003575,0.998,0,0,0,-0,-0,-0,0.45555402946059492,0.32579452076226623,1.5,1.0888747339399636,0.67774515636598531,869.79257607460022
205394,205394,1000,113000,112,0.99929918494556236,0.999,0,0,0,-0,-0,-0,0.53252357432904307,0.32162298601758099,1.5,1.1686793495142378,0.68901099036193292,878.14545798301697
889047,889047,1000,113000,112,0.99941871348326572,1,0,0,0,-0,-0,-0,0.53800507483530369,0.35432613459214379,1.5,1.2553768327095678,0.76183977431983174,920.73871612548828
337617,337617,1000,113000,112,0.99910267138741171,0.998,0,0,0,-0,-0,-0,0.5587027485186471,0.36295227824019188,1.5,1.1625307042975084,0.74420327573508815,955.85607314109802
29498,29498,1000,113000,112,0.99951807500496859,0.999,0,0,0,-0,-0,-0,0.50014224562336196,0.30937062306110735,1.5,1.1582725110198406,0.70645128655491574,750.09354496002197
526,526,1000,113000,112,0.99736102729537424,0.999,0,0,0,-0,-0,-0,0.59376042202061707,0.36100169342101923,1.5,1.3397364372991856,0.66949668867857393,770.20530009269714
831472,831472,1000,113000,112,0.99967734247422335,1,0,0,0,-0,-0,-0,0.56359475827488104,0.38474621059301406,1.5,1.2978191394900698,0.92104051866161596,759.23182201385498
810138,810138,1000,113000,112,0.9994389056532389,1,0,0,0,-0,-0,-0,0.52039379855426293,0.39306442933392949,1.5,1.2876156566589219,0.88124256734694595,815.81441783905029
647322,647322,1000,113000,112,0.99934107898019486,0.999,0,0,0,-0,-0,-0,0.49766413831771289,0.31535242613753028,1.5,1.1387666915465029,0.47153592094325036,807.05415105819702
105026,105026,1000,113000,112,0.99974071719916846,0.999,0,0,0,-0,-0,-0,0.55713809956861526,0.38242652713819147,1.5,1.198692481067887,0.73794558757876971,816.39612722396851
