score_mode,N,seed,selected_rank,iter,n_train,axis,x_u,x_physical,physical_unit,mu,sigma
full_l1,100,387749,1,10,22,fcl,0.085000000000000006,0.85000000000000009,kHz,0.69987011289028078,0.10619789645315954
full_l1,100,387749,1,10,22,fcl,0.089999999999999997,0.90000000000000002,kHz,0.69263591900445065,0.10804246455881376
full_l1,100,387749,1,10,22,fcl,0.095000000000000001,0.94999999999999996,kHz,0.68523969753998992,0.10985872473861147
full_l1,100,387749,1,10,22,fcl,0.10000000000000001,1,kHz,0.67769519289952729,0.11164329625806174
full_l1,100,387749,1,10,22,fcl,0.105,1.05,kHz,0.67001584173393314,0.11339310832748686
full_l1,100,387749,1,10,22,fcl,0.11,1.1000000000000001,kHz,0.66221476602006746,0.11510540255842437
full_l1,100,387749,1,10,22,fcl,0.115,1.1499999999999999,kHz,0.6543047691407573,0.11677773385808117
full_l1,100,387749,1,10,22,fcl,0.12,1.2,kHz,0.64629833437839912,0.11840797005163362
full_l1,100,387749,1,10,22,fcl,0.125,1.25,kHz,0.6382076253109924,0.11999429045947364
full_l1,100,387749,1,10,22,fcl,0.13,1.3,kHz,0.63004448766961896,0.12153518360019454
full_l1,100,387749,1,10,22,fcl,0.13500000000000001,1.3500000000000001,kHz,0.62182045227903182,0.12302944414077999
full_l1,100,387749,1,10,22,fcl,0.14000000000000001,1.4000000000000001,kHz,0.61354673875839816,0.12447616917305147
full_l1,100,387749,1,10,22,fcl,0.14499999999999999,1.45,kHz,0.60523425970780376,0.12587475385952324
full_l1,100,387749,1,10,22,fcl,0.14999999999999999,1.5,kHz,0.59689362514848487,0.12722488646186722
full_l1,100,387749,1,10,22,fcl,0.155,1.55,kHz,0.58853514702165843,0.12852654274053335
full_l1,100,387749,1,10,22,fcl,0.16,1.6000000000000001,kHz,0.58016884358298393,0.12977997969418345
full_l1,100,387749,1,10,22,fcl,0.16500000000000001,1.6499999999999999,kHz,0.5718044435578038,0.13098572859195368
full_l1,100,387749,1,10,22,fcl,0.17000000000000001,1.7000000000000002,kHz,0.56345138994714494,0.1321445872398023
full_l1,100,387749,1,10,22,fcl,0.17499999999999999,1.75,kHz,0.55511884339645279,0.13325761141408771
full_l1,100,387749,1,10,22,fcl,0.17999999999999999,1.8,kHz,0.54681568505889566,0.13432610539088327
full_l1,100,387749,1,10,22,fcl,0.185,1.8500000000000001,kHz,0.53855051890317962,0.13535161149834041
full_l1,100,387749,1,10,22,fcl,0.19,1.8999999999999999,kHz,0.53033167343253296,0.13633589862168602
full_l1,100,387749,1,10,22,fcl,0.19500000000000001,1.95,kHz,0.52216720279724482,0.13728094959622947
full_l1,100,387749,1,10,22,fcl,0.20000000000000001,2,kHz,0.5140648872980188,0.13818894743317942
full_l1,100,387749,1,10,22,fcl,0.20499999999999999,2.0499999999999998,kHz,0.5060322332916809,0.13906226033616398
full_l1,100,387749,1,10,22,fcl,0.20999999999999999,2.1000000000000001,kHz,0.49807647252446002,0.13990342548316917
full_l1,100,387749,1,10,22,fcl,0.215,2.1499999999999999,kHz,0.49020456093124209,0.14071513156907889
full_l1,100,387749,1,10,22,fcl,0.22,2.2000000000000002,kHz,0.4824231769518294,0.14150020012795639
full_l1,100,387749,1,10,22,fcl,0.22500000000000001,2.25,kHz,0.47473871942715445,0.14226156568134363
full_l1,100,387749,1,10,22,fcl,0.23000000000000001,2.2999999999999998,kHz,0.46715730514956016,0.14300225478870193
full_l1,100,387749,1,10,22,fcl,0.23499999999999999,2.3500000000000001,kHz,0.45968476615138015,0.1437253641080164
full_l1,100,387749,1,10,22,fcl,0.23999999999999999,2.3999999999999999,kHz,0.45232664682495888,0.14443403760771115
full_l1,100,387749,1,10,22,fcl,0.245,2.4500000000000002,kHz,0.44508820097468232,0.1451314431043631
full_l1,100,387749,1,10,22,fcl,0.25,2.5,kHz,0.43797438890731649,0.14582074833307271
full_l1,100,387749,1,10,22,fcl,0.255,2.5499999999999998,kHz,0.43098987467066913,0.14650509678748957
full_l1,100,387749,1,10,22,fcl,0.26000000000000001,2.6000000000000001,kHz,0.42413902355219235,0.14718758359301859
full_l1,100,387749,1,10,22,fcl,0.26500000000000001,2.6499999999999999,kHz,0.41742589994836488,0.14787123169829744
full_l1,100,387749,1,10,22,fcl,0.27000000000000002,2.7000000000000002,kHz,0.41085426571244621,0.14855896868535567
full_l1,100,387749,1,10,22,fcl,0.27500000000000002,2.75,kHz,0.4044275790824981,0.1492536045067954
full_l1,100,387749,1,10,22,fcl,0.28000000000000003,2.8000000000000003,kHz,0.39814899428338535,0.14995781045798581
full_l1,100,387749,1,10,22,fcl,0.28499999999999998,2.8499999999999996,kHz,0.39202136188596487,0.15067409968304829
full_l1,100,387749,1,10,22,fcl,0.28999999999999998,2.8999999999999999,kHz,0.38604722999410351,0.15140480949512217
full_l1,100,387749,1,10,22,fcl,0.29499999999999998,2.9500000000000002,kHz,0.38022884631578641,0.15215208576424064
full_l1,100,387749,1,10,22,fcl,0.29999999999999999,3,kHz,0.37456816115877944,0.15291786959075315
full_l1,100,387749,1,10,22,fcl,0.30499999999999999,3.0499999999999998,kHz,0.36906683137460439,0.15370388643965399
full_l1,100,387749,1,10,22,fcl,0.31,3.1000000000000001,kHz,0.36372622525733878,0.15451163786284575
full_l1,100,387749,1,10,22,fcl,0.315,3.1499999999999999,kHz,0.35854742838658438,0.15534239588400178
full_l1,100,387749,1,10,22,fcl,0.32000000000000001,3.2000000000000002,kHz,0.35353125038728234,0.1561972000662267
full_l1,100,387749,1,10,22,fcl,0.32500000000000001,3.25,kHz,0.34867823256340441,0.1570768572281839
full_l1,100,387749,1,10,22,fcl,0.33000000000000002,3.2999999999999998,kHz,0.34398865634831166,0.15798194372175625
full_l1,100,387749,1,10,22,fcl,0.33500000000000002,3.3500000000000001,kHz,0.33946255250212998,0.15891281013551964
full_l1,100,387749,1,10,22,fcl,0.34000000000000002,3.4000000000000004,kHz,0.33509971097609192,0.15986958824496289
full_l1,100,387749,1,10,22,fcl,0.34499999999999997,3.4499999999999997,kHz,0.33089969135566133,0.16085219999380254
full_l1,100,387749,1,10,22,fcl,0.34999999999999998,3.5,kHz,0.32686183378843792,0.16186036826186892
full_l1,100,387749,1,10,22,fcl,0.35499999999999998,3.5499999999999998,kHz,0.32298527029939117,0.16289362915440692
full_l1,100,387749,1,10,22,fcl,0.35999999999999999,3.6000000000000001,kHz,0.31926893639477799,0.16395134553539761
full_l1,100,387749,1,10,22,fcl,0.36499999999999999,3.6499999999999999,kHz,0.31571158285703038,0.16503272152342252
