score_mode,N,seed,selected_rank,iter,point_idx,x_u1,x_u2,x_u3,y,sigma_y
full_l1,100,387749,1,50,11,0.20833333333333326,-0.45833333333333331,0.45833333333333326,0.42999999999999994,0.04978417584150413
full_l1,100,387749,1,50,12,-0.375,0.04166666666666663,0.37499999999999989,0.35000000000000009,0.04938137141417203
full_l1,100,387749,1,50,13,-0.0810160077795683,0.44003268988272493,0.44860328441463238,0.5,0.049956806111807139
full_l1,100,387749,1,50,14,-0.047210626699138558,0.43415057972826987,-0.48004420321157015,0.45999999999999996,0.049613791455863872
full_l1,100,387749,1,50,15,-0.17059936743836168,-0.49651689695100654,0.47655709822707526,0.34999999999999998,0.049133822399582194
full_l1,100,387749,1,50,16,-0.1113656448550282,-0.18977228803363411,-0.45778324087481659,0.40999999999999992,0.048198731633599431
full_l1,100,387749,1,50,17,-0.17800284569041724,0.29898221246142764,-0.21260027233335199,0.29000000000000004,0.048041190656153525
full_l1,100,387749,1,50,18,-0.0055084477146383204,0.11896530456755539,0.46368485451043817,0.81000000000000005,0.040947053069047133
full_l1,100,387749,1,50,19,0.052873650638408876,0.2945958076675339,0.49186140387824118,0.55000000000000004,0.049742289006116922
full_l1,100,387749,1,50,20,-0.03567222219182109,0.061185169564393238,0.42414315187251161,0.90000000000000002,0.026747398288033793
full_l1,100,387749,1,50,21,-0.054990606839964373,0.02585482004798223,0.42420395364299091,0.93000000000000005,0.019186228823575263
full_l1,100,387749,1,50,22,-0.034665745329720776,-0.013952333625550484,0.49634016243100865,0.97999999999999998,0.022144246908621854
full_l1,100,387749,1,50,23,0.039141362518112066,0.0033259208541711605,0.45886920815842003,1,0.016443576163960281
full_l1,100,387749,1,50,24,0.095218166343350896,-0.0014983334153395589,0.48941745815308502,0.89000000000000001,0.029068673380023145
full_l1,100,387749,1,50,25,-0.0024553224665819773,-0.031251336694566811,0.49830056976570392,0.92000000000000004,0.027805273025200705
full_l1,100,387749,1,50,26,0.031181953076830471,0.013241925148870681,0.21152157656804493,0.98999999999999999,0.01102894183382948
full_l1,100,387749,1,50,27,0.010341018935559276,0.043572267231752004,0.47606956486031393,0.98999999999999999,0.01920343985327581
full_l1,100,387749,1,50,28,0.034982307079060249,0.028556972195214581,0.44960936972346932,0.97999999999999998,0.01641727302266242
full_l1,100,387749,1,50,29,0.013428631017785131,0.0080827401338685601,0.38633228498119543,1,0.010045487371070572
full_l1,100,387749,1,50,30,-0.014932631209528147,0.010195195336159868,0.30441605062924082,1,0.0083727194509466262
full_l1,100,387749,1,50,31,0.009558941988240699,0.03990458511473971,0.043794452387930782,0.95999999999999996,0.020234770132073532
full_l1,100,387749,1,50,32,0.0041741384534157433,0.013746121735536132,0.42115510541072054,1,0.010112676888847781
full_l1,100,387749,1,50,33,0.03044529725307954,0.042884756941162561,0.26113601975158618,0.96999999999999997,0.020716301175739863
full_l1,100,387749,1,50,34,-0.012011783673109067,0.0058357707260039415,0.095631563101090666,1,0.0046614135171359232
full_l1,100,387749,1,50,35,-0.025008559891228188,-0.014162973067536333,0.22570839111379537,0.98999999999999999,0.01445677195839605
full_l1,100,387749,1,50,36,0.0086534266579683106,0.011376198049847241,0.29564687285732205,1,0.007570707385018906
full_l1,100,387749,1,50,37,0.021449335722954821,-0.0011589290126736707,-0.011249955497336872,1,0.0066189116770092402
full_l1,100,387749,1,50,38,0.071928730112425621,0.024402725196460695,-0.44916412749421419,0.89000000000000001,0.029636048088462721
full_l1,100,387749,1,50,39,-0.0057863184858470973,-0.0021189326953128251,-0.11041633881891921,1,0.0041999378817067952
full_l1,100,387749,1,50,40,0.0048487846740601359,-0.018312914740093778,0.10026912220032291,0.97999999999999998,0.011444269665987031
full_l1,100,387749,1,50,41,0.012809222344836613,0.0086424804623832507,0.014499002104963576,0.98999999999999999,0.0064834078477906372
full_l1,100,387749,1,50,42,0.027111462443187628,-0.0077125237496449284,-0.16772978048150811,0.98999999999999999,0.0097677986329977751
full_l1,100,387749,1,50,43,0.011919527697743959,-0.0059474693530885414,0.2418625590842165,1,0.0095142737003236291
full_l1,100,387749,1,50,44,-0.017780988422971378,0.0092616834176997287,-0.25423584120605347,0.97999999999999998,0.013314030418967341
full_l1,100,387749,1,50,45,0.003953851161580868,0.0057387539257314213,0.46870400272529755,0.95999999999999996,0.012012944700338195
