N,seed,selected_rank,iter,n_train,axis,x_u,x_physical,physical_unit,mu,sigma
100,191889,1,10,22,fcl,-0.40999999999999998,-4.0999999999999996,kHz,0.3843761491316558,0.1700218590299056
100,191889,1,10,22,fcl,-0.40500000000000003,-4.0500000000000007,kHz,0.38757526847382973,0.16795514129901973
100,191889,1,10,22,fcl,-0.40000000000000002,-4,kHz,0.39092307186069397,0.16585509887234823
100,191889,1,10,22,fcl,-0.39500000000000002,-3.9500000000000002,kHz,0.39442150995325687,0.16372129291647575
100,191889,1,10,22,fcl,-0.39000000000000001,-3.8999999999999999,kHz,0.39807249683420443,0.1615533489493042
100,191889,1,10,22,fcl,-0.38500000000000001,-3.8500000000000001,kHz,0.40187790886139263,0.15935096928069833
100,191889,1,10,22,fcl,-0.38,-3.7999999999999998,kHz,0.4058395835519471,0.15711394653321842
100,191889,1,10,22,fcl,-0.375,-3.75,kHz,0.4099593184744873,0.15484217826710786
100,191889,1,10,22,fcl,-0.37,-3.7000000000000002,kHz,0.41423887012116256,0.15253568272488049
100,191889,1,10,22,fcl,-0.36499999999999999,-3.6499999999999999,kHz,0.41867995272455572,0.15019461569938694
100,191889,1,10,22,fcl,-0.35999999999999999,-3.6000000000000001,kHz,0.42328423697700895,0.14781928851439494
100,191889,1,10,22,fcl,-0.35499999999999998,-3.5499999999999998,kHz,0.42805334860148259,0.14541018708753167
100,191889,1,10,22,fcl,-0.34999999999999998,-3.5,kHz,0.4329888667134455,0.14296799202070942
100,191889,1,10,22,fcl,-0.34499999999999997,-3.4499999999999997,kHz,0.43809232190249275,0.14049359963141642
100,191889,1,10,22,fcl,-0.34000000000000002,-3.4000000000000004,kHz,0.44336519395013729,0.13798814379769458
100,191889,1,10,22,fcl,-0.33500000000000002,-3.3500000000000001,kHz,0.44880890908638726,0.13545301843808255
100,191889,1,10,22,fcl,-0.33000000000000002,-3.2999999999999998,kHz,0.45442483667217726,0.1328899003827464
100,191889,1,10,22,fcl,-0.32500000000000001,-3.25,kHz,0.4602142851772047,0.13030077231054488
100,191889,1,10,22,fcl,-0.32000000000000001,-3.2000000000000002,kHz,0.46617849730324962,0.12768794532568351
100,191889,1,10,22,fcl,-0.315,-3.1499999999999999,kHz,0.47231864408145124,0.12505408062355761
100,191889,1,10,22,fcl,-0.31,-3.1000000000000001,kHz,0.47863581774848607,0.1224022095451083
100,191889,1,10,22,fcl,-0.30499999999999999,-3.0499999999999998,kHz,0.48513102318132956,0.11973575113989346
100,191889,1,10,22,fcl,-0.29999999999999999,-3,kHz,0.49180516764396776,0.11705852614866565
100,191889,1,10,22,fcl,-0.29499999999999998,-2.9500000000000002,kHz,0.49865904857303106,0.11437476607751207
100,191889,1,10,22,fcl,-0.28999999999999998,-2.8999999999999999,kHz,0.50569333910455216,0.11168911577219227
100,191889,1,10,22,fcl,-0.28499999999999998,-2.8499999999999996,kHz,0.51290857102330523,0.10900662762355685
100,191889,1,10,22,fcl,-0.28000000000000003,-2.8000000000000003,kHz,0.52030511480291664,0.10633274526121381
100,191889,1,10,22,fcl,-0.27500000000000002,-2.75,kHz,0.52788315640386341,0.10367327435199267
100,191889,1,10,22,fcl,-0.27000000000000002,-2.7000000000000002,kHz,0.53564267051337344,0.10103433795464704
100,191889,1,10,22,fcl,-0.26500000000000001,-2.6499999999999999,kHz,0.54358338995349109,0.098422313850200033
100,191889,1,10,22,fcl,-0.26000000000000001,-2.6000000000000001,kHz,0.55170477105895388,0.095843751441113872
100,191889,1,10,22,fcl,-0.255,-2.5499999999999998,kHz,0.5600059549431925,0.093305266276471399
100,191889,1,10,22,fcl,-0.25,-2.5,kHz,0.56848572473519376,0.090813411101801855
100,191889,1,10,22,fcl,-0.245,-2.4500000000000002,kHz,0.57714245908509032,0.088374523625225881
