score_mode,axis,x_u,x_physical,physical_unit,score
full_l1,fsb,-0.02,-0.20000000000000001,kHz,0.9894429911677447
full_l1,fsb,-0.014999999999999999,-0.14999999999999999,kHz,0.99440510883108324
full_l1,fsb,-0.01,-0.10000000000000001,kHz,0.99778332440531681
full_l1,fsb,-0.0050000000000000001,-0.050000000000000003,kHz,0.99960126313182907
full_l1,fsb,0,0,kHz,0.99989549141336287
full_l1,fsb,0.0050000000000000001,0.050000000000000003,kHz,0.99871448543797681
full_l1,fsb,0.01,0.10000000000000001,kHz,0.9961174508212941
full_l1,fsb,0.014999999999999999,0.14999999999999999,kHz,0.99217302613579017
full_l1,fsb,0.02,0.20000000000000001,kHz,0.98695790783929216
full_l1,fsb,0.025000000000000001,0.25,kHz,0.98055543176427817
full_l1,fsb,0.029999999999999999,0.29999999999999999,kHz,0.97305414515401645
full_l1,fsb,0.035000000000000003,0.35000000000000003,kHz,0.96454640013414272
full_l1,fsb,0.040000000000000001,0.40000000000000002,kHz,0.95512699533724044
full_l1,fsb,0.044999999999999998,0.45000000000000001,kHz,0.94489189074269064
full_l1,fsb,0.050000000000000003,0.5,kHz,0.93393701485695657
full_l1,fsb,0.055,0.55000000000000004,kHz,0.92235717856902
full_l1,fsb,0.059999999999999998,0.59999999999999998,kHz,0.91024510742075559
full_l1,fsb,0.065000000000000002,0.65000000000000002,kHz,0.89769059794232742
full_l1,fsb,0.070000000000000007,0.70000000000000007,kHz,0.88477980215477414
full_l1,fsb,0.074999999999999997,0.75,kHz,0.87159463904207113
full_l1,fsb,0.080000000000000002,0.80000000000000004,kHz,0.85821232918925849
full_l1,fsb,0.085000000000000006,0.85000000000000009,kHz,0.84470504589883733
full_l1,fsb,0.089999999999999997,0.90000000000000002,kHz,0.83113967712713654
full_l1,fsb,0.095000000000000001,0.94999999999999996,kHz,0.81757768725876256
full_l1,fsb,0.10000000000000001,1,kHz,0.80407506767580039
full_l1,fsb,0.105,1.05,kHz,0.7906823692240188
full_l1,fsb,0.11,1.1000000000000001,kHz,0.77744479665120458
full_l1,fsb,0.115,1.1499999999999999,kHz,0.76440236932759686
full_l1,fsb,0.12,1.2,kHz,0.75159011960368038
full_l1,fsb,0.125,1.25,kHz,0.73903832998123742
full_l1,fsb,0.13,1.3,kHz,0.72677280721558901
full_l1,fsb,0.13500000000000001,1.3500000000000001,kHz,0.71481516082847318
full_l1,fsb,0.14000000000000001,1.4000000000000001,kHz,0.7031831049172208
full_l1,fsb,0.14499999999999999,1.45,kHz,0.69189076181264786
full_l1,fsb,0.14999999999999999,1.5,kHz,0.68094897046526415
full_l1,fsb,0.155,1.55,kHz,0.67036558166900773
full_l1,fsb,0.16,1.6000000000000001,kHz,0.66014575398726616
full_l1,fsb,0.16500000000000001,1.6499999999999999,kHz,0.65029223687024551
full_l1,fsb,0.17000000000000001,1.7000000000000002,kHz,0.64080563655531364
full_l1,fsb,0.17499999999999999,1.75,kHz,0.63168467804337958
full_l1,fsb,0.17999999999999999,1.8,kHz,0.62292643468738762
