axis,x_u,x_physical,physical_unit,score
fcl,0.34000000000000002,3.4000000000000004,kHz,0.37651386569461032
fcl,0.34499999999999997,3.4499999999999997,kHz,0.36721080831169806
fcl,0.34999999999999998,3.5,kHz,0.35813697017834278
fcl,0.35499999999999998,3.5499999999999998,kHz,0.3492925020824148
fcl,0.35999999999999999,3.6000000000000001,kHz,0.34067663174873025
fcl,0.36499999999999999,3.6499999999999999,kHz,0.33228768848805662
fcl,0.37,3.7000000000000002,kHz,0.32412313610076254
fcl,0.375,3.75,kHz,0.31617961066377831
fcl,0.38,3.7999999999999998,kHz,0.30845296391132015
fcl,0.38500000000000001,3.8500000000000001,kHz,0.30093831045880537
fcl,0.39000000000000001,3.8999999999999999,kHz,0.29363007985944678
fcl,0.39500000000000002,3.9500000000000002,kHz,0.28652207584102457
fcl,0.40000000000000002,4,kHz,0.27960753472852706
fcl,0.40500000000000003,4.0500000000000007,kHz,0.27287918934162814
fcl,0.40999999999999998,4.0999999999999996,kHz,0.26632933284161181
fcl,0.41499999999999998,4.1500000000000004,kHz,0.25994988807470015
fcl,0.41999999999999998,4.2000000000000002,kHz,0.25373247355787265
fcl,0.42499999999999999,4.25,kHz,0.24766847423144653
fcl,0.42999999999999999,4.2999999999999998,kHz,0.24174910697457144
fcl,0.435,4.3499999999999996,kHz,0.23596549198109598
fcl,0.44,4.4000000000000004,kHz,0.23030871645670023
fcl,0.44500000000000001,4.4500000000000002,kHz,0.22476990026191526
fcl,0.45000000000000001,4.5,kHz,0.21934025813086769
fcl,0.45500000000000002,4.5499999999999998,kHz,0.2140111616030767
fcl,0.46000000000000002,4.5999999999999996,kHz,0.2087741923208363
fcl,0.46500000000000002,4.6500000000000004,kHz,0.20362119728263486
fcl,0.46999999999999997,4.7000000000000002,kHz,0.19854434021283782
fcl,0.47499999999999998,4.75,kHz,0.19353614334635785
fcl,0.47999999999999998,4.7999999999999998,kHz,0.18858953250049862
fcl,0.48499999999999999,4.8499999999999996,kHz,0.18369787229344453
fcl,0.48999999999999999,4.9000000000000004,kHz,0.17885500074371694
fcl,0.495,4.9500000000000002,kHz,0.17405525665371219
fcl,0.5,5,kHz,0.16929350548224845
fsb,-0.5,-5,kHz,0.40589851263649157
fsb,-0.495,-4.9500000000000002,kHz,0.4073012487826021
fsb,-0.48999999999999999,-4.9000000000000004,kHz,0.40867728437489509
fsb,-0.48499999999999999,-4.8499999999999996,kHz,0.41001042993975867
fsb,-0.47999999999999998,-4.7999999999999998,kHz,0.41128323687896201
fsb,-0.47499999999999998,-4.75,kHz,0.41247703404967867
fsb,-0.46999999999999997,-4.7000000000000002,kHz,0.41357200219748652
fsb,-0.46500000000000002,-4.6500000000000004,kHz,0.41454729288652609
fsb,-0.46000000000000002,-4.5999999999999996,kHz,0.41538121439962633
fsb,-0.45500000000000002,-4.5499999999999998,kHz,0.41605148819523896
fsb,-0.45000000000000001,-4.5,kHz,0.41653558841652133
fsb,-0.44500000000000001,-4.4500000000000002,kHz,0.41681116624534909
fsb,-0.44,-4.4000000000000004,kHz,0.41685655994586718
fsb,-0.435,-4.3499999999999996,kHz,0.4166513756641681
fsb,-0.42999999999999999,-4.2999999999999998,kHz,0.41617712960070191
fsb,-0.42499999999999999,-4.25,kHz,0.41541792596271965
fsb,-0.41999999999999998,-4.2000000000000002,kHz,0.41436115386601641
fsb,-0.41499999999999998,-4.1500000000000004,kHz,0.41299815057982459
fsb,-0.40999999999999998,-4.0999999999999996,kHz,0.41132482670993542
fsb,-0.40500000000000003,-4.0500000000000007,kHz,0.40934218821892454
fsb,-0.40000000000000002,-4,kHz,0.40705674531594321
fsb,-0.39500000000000002,-3.9500000000000002,kHz,0.40448075752629209
fsb,-0.39000000000000001,-3.8999999999999999,kHz,0.40163230745884382
fsb,-0.38500000000000001,-3.8500000000000001,kHz,0.39853516815952178
fsb,-0.38,-3.7999999999999998,kHz,0.39521846512722092
fsb,-0.375,-3.75,kHz,0.39171613255694832
fsb,-0.37,-3.7000000000000002,kHz,0.38806617281539907
fsb,-0.36499999999999999,-3.6499999999999999,kHz,0.38430975207846702
fsb,-0.35999999999999999,-3.6000000000000001,kHz,0.38049014992117497
fsb,-0.35499999999999998,-3.5499999999999998,kHz,0.37665163439584654
fsb,-0.34999999999999998,-3.5,kHz,0.37283828121783463
fsb,-0.34499999999999997,-3.4499999999999997,kHz,0.36909282357714362
fsb,-0.34000000000000002,-3.4000000000000004,kHz,0.36545557312033561
fsb,-0.33500000000000002,-3.3500000000000001,kHz,0.36196347100945558
fsb,-0.33000000000000002,-3.2999999999999998,kHz,0.35864932689233586
fsb,-0.32500000000000001,-3.25,kHz,0.35554128302884991
fsb,-0.32000000000000001,-3.2000000000000002,kHz,0.35266253580181983
fsb,-0.315,-3.1499999999999999,kHz,0.35003133563494854
fsb,-0.31,-3.1000000000000001,kHz,0.347661266794355
fsb,-0.30499999999999999,-3.0499999999999998,kHz,0.34556179360802208
fsb,-0.29999999999999999,-3,kHz,0.3437390489592933
fsb,-0.29499999999999998,-2.9500000000000002,kHz,0.34219681839254174
fsb,-0.28999999999999998,-2.8999999999999999,kHz,0.34093767345235831
fsb,-0.28499999999999998,-2.8499999999999996,kHz,0.33996418724741068
fsb,-0.28000000000000003,-2.8000000000000003,kHz,0.33928017028722496
fsb,-0.27500000000000002,-2.75,kHz,0.33889185830064461
fsb,-0.27000000000000002,-2.7000000000000002,kHz,0.33880898290813855
fsb,-0.26500000000000001,-2.6499999999999999,kHz,0.3390456769226724
fsb,-0.26000000000000001,-2.6000000000000001,kHz,0.33962115803452619
fsb,-0.255,-2.5499999999999998,kHz,0.340560161109283
fsb,-0.25,-2.5,kHz,0.34189309156173353
fsb,-0.245,-2.4500000000000002,kHz,0.34365590608516039
fsb,-0.23999999999999999,-2.3999999999999999,kHz,0.345889707852715
fsb,-0.23499999999999999,-2.3500000000000001,kHz,0.3486400997561912
fsb,-0.23000000000000001,-2.2999999999999998,kHz,0.35195631477302686
fsb,-0.22500000000000001,-2.25,kHz,0.35589016433341281
fsb,-0.22,-2.2000000000000002,kHz,0.36049485857839408
fsb,-0.215,-2.1499999999999999,kHz,0.36582374246727295
fsb,-0.20999999999999999,-2.1000000000000001,kHz,0.3719289944045458
fsb,-0.20499999999999999,-2.0499999999999998,kHz,0.3788603355886373
fsb,-0.20000000000000001,-2,kHz,0.38666378511158045
fsb,-0.19500000000000001,-1.95,kHz,0.39538049530357489
fsb,-0.19,-1.8999999999999999,kHz,0.40504568738500102
fsb,-0.185,-1.8500000000000001,kHz,0.41568770058918264
fsb,-0.17999999999999999,-1.8,kHz,0.42732716649025054
fsb,-0.17499999999999999,-1.75,kHz,0.43997630522180092
fsb,-0.17000000000000001,-1.7000000000000002,kHz,0.45363833437202511
fsb,-0.16500000000000001,-1.6499999999999999,kHz,0.46830699484981547
fsb,-0.16,-1.6000000000000001,kHz,0.48396617111912282
fsb,-0.155,-1.55,kHz,0.50058960780622885
fsb,-0.14999999999999999,-1.5,kHz,0.51814071327355316
fsb,-0.14499999999999999,-1.45,kHz,0.53657245124017205
fsb,-0.14000000000000001,-1.4000000000000001,kHz,0.55582731681072861
fsb,-0.13500000000000001,-1.3500000000000001,kHz,0.57583741554419621
fsb,-0.13,-1.3,kHz,0.59652464249069792
fsb,-0.125,-1.25,kHz,0.61780098732750477
fsb,-0.12,-1.2,kHz,0.6395689707786375
fsb,-0.115,-1.1499999999999999,kHz,0.66172223438457067
fsb,-0.11,-1.1000000000000001,kHz,0.68414629111893366
fsb,-0.105,-1.05,kHz,0.70671944679616427
fsb,-0.10000000000000001,-1,kHz,0.72931389856601792
fsb,-0.095000000000000001,-0.94999999999999996,kHz,0.7517970032487189
fsb,-0.089999999999999997,-0.90000000000000002,kHz,0.77403270530188184
fsb,-0.085000000000000006,-0.85000000000000009,kHz,0.79588310725204203
fsb,-0.080000000000000002,-0.80000000000000004,kHz,0.81721015884448334
fsb,-0.074999999999999997,-0.75,kHz,0.83787742441904478
fsb,-0.070000000000000007,-0.70000000000000007,kHz,0.85775189834451704
fsb,-0.065000000000000002,-0.65000000000000002,kHz,0.87670582138054309
fsb,-0.059999999999999998,-0.59999999999999998,kHz,0.89461845386013261
fsb,-0.055,-0.55000000000000004,kHz,0.91137775806560695
fsb,-0.050000000000000003,-0.5,kHz,0.92688195324283695
fsb,-0.044999999999999998,-0.45000000000000001,kHz,0.94104089192815543
fsb,-0.040000000000000001,-0.40000000000000002,kHz,0.95377723218627652
fsb,-0.035000000000000003,-0.35000000000000003,kHz,0.96502737222146195
fsb,-0.029999999999999999,-0.29999999999999999,kHz,0.97474212694145468
fsb,-0.025000000000000001,-0.25,kHz,0.98288713496478552
fsb,-0.02,-0.20000000000000001,kHz,0.98944299116774603
fsb,-0.014999999999999999,-0.14999999999999999,kHz,0.99440510883109257
fsb,-0.01,-0.10000000000000001,kHz,0.99778332440531348
fsb,-0.0050000000000000001,-0.050000000000000003,kHz,0.99960126313183073
fsb,0,0,kHz,0.99989549141336331
fsb,0.0050000000000000001,0.050000000000000003,kHz,0.99871448543797714
fsb,0.01,0.10000000000000001,kHz,0.99611745082129166
fsb,0.014999999999999999,0.14999999999999999,kHz,0.99217302613578728
fsb,0.02,0.20000000000000001,kHz,0.98695790783929804
fsb,0.025000000000000001,0.25,kHz,0.98055543176428639
fsb,0.029999999999999999,0.29999999999999999,kHz,0.97305414515400956
fsb,0.035000000000000003,0.35000000000000003,kHz,0.9645464001341445
