iter,x_acq_u1,x_acq_u2,x_acq_u3,x_rec_u1,x_rec_u2,x_rec_u3,m_rec,s_rec,y_acq,y_check
101,0.292307,-0.057209,0.338759,1.000000,-1.000000,-1.000000,0.012015,0.020856,0.000000,NaN
102,0.181434,-0.889092,0.272178,1.000000,-1.000000,-1.000000,0.011886,0.020780,0.000000,NaN
103,0.288469,0.096956,0.157588,1.000000,-1.000000,-1.000000,0.011722,0.020700,0.132500,NaN
104,0.340359,0.797167,-0.181374,1.000000,-1.000000,-1.000000,0.011851,0.020645,0.000000,NaN
105,0.261440,0.874004,-0.428454,1.000000,-1.000000,-1.000000,0.011754,0.020572,0.000000,NaN
106,0.202967,-0.725273,0.920207,1.000000,-1.000000,-1.000000,0.011658,0.020499,0.000000,NaN
107,-0.659443,0.218553,0.738030,1.000000,-1.000000,-1.000000,0.011544,0.020427,0.000000,NaN
108,-0.816080,0.198896,-0.127940,1.000000,-1.000000,-1.000000,0.011450,0.020356,0.000000,NaN
109,-0.401951,-0.285680,-0.934435,1.000000,-1.000000,-1.000000,0.011340,0.020284,0.000000,NaN
110,0.232798,-0.310372,0.333698,1.000000,-1.000000,-1.000000,0.012214,0.020163,0.000000,NaN
111,0.677033,-0.408619,-0.462292,1.000000,-1.000000,-1.000000,0.012063,0.020096,0.000000,NaN
112,0.033139,0.683651,-0.426569,1.000000,-1.000000,-1.000000,0.011876,0.019979,0.065000,NaN
113,0.950301,-0.692207,0.144034,1.000000,-1.000000,-1.000000,0.011860,0.019901,0.000000,NaN
114,0.330067,-0.096795,0.766194,1.000000,-1.000000,-1.000000,0.011470,0.019731,0.000000,NaN
115,-0.823100,0.015686,0.126829,1.000000,-1.000000,-1.000000,0.011376,0.019666,0.000000,NaN
116,0.003207,0.291614,0.325235,1.000000,-1.000000,-1.000000,0.011292,0.019601,0.307500,NaN
117,0.938514,-0.362922,0.911573,1.000000,-1.000000,-1.000000,0.011734,0.019856,0.000000,NaN
118,0.922496,-0.683509,0.543766,1.000000,-1.000000,-1.000000,0.011674,0.019792,0.000000,NaN
119,-0.414051,-0.464602,-0.983444,1.000000,-1.000000,-1.000000,0.011588,0.019729,0.337500,NaN
120,0.172420,-0.421673,-0.731232,1.000000,-1.000000,-1.000000,0.011935,0.020047,0.000000,NaN
