# u1-u3 slice at u2=-0.0  metric=q_varMS  grid=71
# axis_a=u1  axis_b=u3
u1,u3,q
-0.800000,0.857143,0.304118
-0.800000,0.885714,0.304909
-0.800000,0.914286,0.303208
-0.800000,0.942857,0.302861
-0.800000,0.971429,0.301483
-0.800000,1.000000,0.301127
-0.771429,-1.000000,0.429940
-0.771429,-0.971429,0.426789
-0.771429,-0.942857,0.425837
-0.771429,-0.914286,0.422995
-0.771429,-0.885714,0.423042
-0.771429,-0.857143,0.419422
-0.771429,-0.828571,0.418391
-0.771429,-0.800000,0.416067
-0.771429,-0.771429,0.412912
-0.771429,-0.742857,0.411852
-0.771429,-0.714286,0.408613
-0.771429,-0.685714,0.408442
-0.771429,-0.657143,0.406171
-0.771429,-0.628571,0.403236
-0.771429,-0.600000,0.401734
-0.771429,-0.571429,0.399905
-0.771429,-0.542857,0.398464
-0.771429,-0.514286,0.396360
-0.771429,-0.485714,0.395119
-0.771429,-0.457143,0.393696
-0.771429,-0.428571,0.390029
-0.771429,-0.400000,0.389552
-0.771429,-0.371429,0.387378
-0.771429,-0.342857,0.385630
-0.771429,-0.314286,0.382515
-0.771429,-0.285714,0.381429
-0.771429,-0.257143,0.379243
-0.771429,-0.228571,0.378193
-0.771429,-0.200000,0.377671
-0.771429,-0.171429,0.374676
-0.771429,-0.142857,0.372644
-0.771429,-0.114286,0.369890
-0.771429,-0.085714,0.369380
-0.771429,-0.057143,0.366776
-0.771429,-0.028571,0.365608
-0.771429,0.000000,0.364093
-0.771429,0.028571,0.362321
-0.771429,0.057143,0.360734
-0.771429,0.085714,0.358851
-0.771429,0.114286,0.356953
-0.771429,0.142857,0.356722
-0.771429,0.171429,0.354645
-0.771429,0.200000,0.353561
-0.771429,0.228571,0.352848
-0.771429,0.257143,0.350050
-0.771429,0.285714,0.350273
-0.771429,0.314286,0.348254
-0.771429,0.342857,0.346790
-0.771429,0.371429,0.345393
-0.771429,0.400000,0.343160
-0.771429,0.428571,0.343972
-0.771429,0.457143,0.342014
-0.771429,0.485714,0.340411
-0.771429,0.514286,0.340327
-0.771429,0.542857,0.338656
-0.771429,0.571429,0.336269
-0.771429,0.600000,0.336673
-0.771429,0.628571,0.335013
-0.771429,0.657143,0.334270
-0.771429,0.685714,0.333083
-0.771429,0.714286,0.332604
-0.771429,0.742857,0.331216
-0.771429,0.771429,0.329277
-0.771429,0.800000,0.329496
-0.771429,0.828571,0.328965
-0.771429,0.857143,0.330117
-0.771429,0.885714,0.328650
-0.771429,0.914286,0.328529
-0.771429,0.942857,0.326394
-0.771429,0.971429,0.326343
-0.771429,1.000000,0.325150
-0.742857,-1.000000,0.459958
-0.742857,-0.971429,0.457966
-0.742857,-0.942857,0.457152
-0.742857,-0.914286,0.454655
-0.742857,-0.885714,0.452390
-0.742857,-0.857143,0.451898
-0.742857,-0.828571,0.451427
-0.742857,-0.800000,0.448655
-0.742857,-0.771429,0.446768
-0.742857,-0.742857,0.445643
-0.742857,-0.714286,0.443160
-0.742857,-0.685714,0.442753
-0.742857,-0.657143,0.439477
-0.742857,-0.628571,0.438455
-0.742857,-0.600000,0.438034
-0.742857,-0.571429,0.434237
-0.742857,-0.542857,0.432803
-0.742857,-0.514286,0.432085
-0.742857,-0.485714,0.430225
-0.742857,-0.457143,0.428590
-0.742857,-0.428571,0.427602
-0.742857,-0.400000,0.426364
-0.742857,-0.371429,0.423041
-0.742857,-0.342857,0.421220
-0.742857,-0.314286,0.420522
-0.742857,-0.285714,0.417958
-0.742857,-0.257143,0.415734
-0.742857,-0.228571,0.414473
-0.742857,-0.200000,0.413944
-0.742857,-0.171429,0.412494
-0.742857,-0.142857,0.410285
-0.742857,-0.114286,0.408523
-0.742857,-0.085714,0.406885
-0.742857,-0.057143,0.406335
-0.742857,-0.028571,0.404636
-0.742857,0.000000,0.402536
-0.742857,0.028571,0.401449
-0.742857,0.057143,0.400034
-0.742857,0.085714,0.398830
-0.742857,0.114286,0.396416
-0.742857,0.142857,0.395887
-0.742857,0.171429,0.393476
-0.742857,0.200000,0.392936
-0.742857,0.228571,0.391874
-0.742857,0.257143,0.391171
-0.742857,0.285714,0.389245
-0.742857,0.314286,0.388669
-0.742857,0.342857,0.386134
-0.742857,0.371429,0.385660
-0.742857,0.400000,0.383832
-0.742857,0.428571,0.382783
-0.742857,0.457143,0.383282
-0.742857,0.485714,0.380944
-0.742857,0.514286,0.379586
-0.742857,0.542857,0.378927
-0.742857,0.571429,0.376500
-0.742857,0.600000,0.377651
-0.742857,0.628571,0.375762
-0.742857,0.657143,0.374319
-0.742857,0.685714,0.373526
-0.742857,0.714286,0.374052
-0.742857,0.742857,0.372308
-0.742857,0.771429,0.370586
-0.742857,0.800000,0.370568
-0.742857,0.828571,0.369361
-0.742857,0.857143,0.369096
-0.742857,0.885714,0.369171
-0.742857,0.914286,0.367479
-0.742857,0.942857,0.365743
-0.742857,0.971429,0.365978
-0.742857,1.000000,0.364502
-0.714286,-1.000000,0.496197
-0.714286,-0.971429,0.493377
-0.714286,-0.942857,0.493894
-0.714286,-0.914286,0.493267
-0.714286,-0.885714,0.490766
-0.714286,-0.857143,0.490182
-0.714286,-0.828571,0.489046
-0.714286,-0.800000,0.486945
-0.714286,-0.771429,0.486464
-0.714286,-0.742857,0.486497
-0.714286,-0.714286,0.484995
-0.714286,-0.685714,0.484207
-0.714286,-0.657143,0.482029
-0.714286,-0.628571,0.480179
-0.714286,-0.600000,0.479301
-0.714286,-0.571429,0.477165
-0.714286,-0.542857,0.475846
-0.714286,-0.514286,0.475777
-0.714286,-0.485714,0.472847
-0.714286,-0.457143,0.473674
-0.714286,-0.428571,0.471034
-0.714286,-0.400000,0.471123
-0.714286,-0.371429,0.469587
-0.714286,-0.342857,0.467915
-0.714286,-0.314286,0.465903
-0.714286,-0.285714,0.465798
-0.714286,-0.257143,0.463244
-0.714286,-0.228571,0.462243
-0.714286,-0.200000,0.459820
-0.714286,-0.171429,0.457876
-0.714286,-0.142857,0.457447
-0.714286,-0.114286,0.457089
-0.714286,-0.085714,0.454684
-0.714286,-0.057143,0.453585
-0.714286,-0.028571,0.451618
-0.714286,0.000000,0.451637
-0.714286,0.028571,0.451375
-0.714286,0.057143,0.449452
-0.714286,0.085714,0.447834
-0.714286,0.114286,0.446294
-0.714286,0.142857,0.445533
-0.714286,0.171429,0.443116
-0.714286,0.200000,0.443389
-0.714286,0.228571,0.441224
-0.714286,0.257143,0.440360
-0.714286,0.285714,0.438917
-0.714286,0.314286,0.436665
-0.714286,0.342857,0.436906
-0.714286,0.371429,0.435364
-0.714286,0.400000,0.434897
